id,dataset_id,title,text,label,source,clean_text
95529,9,Medical Breakthroughs: Significant progress reported in research.,"Genome editing tools successfully correct genetic blindness markers in adults. According to scientific experts, this study published in the peer-reviewed journal represents a milestone. Researchers utilized advanced analysis methods to compile indicators. Further investigations will focus on efficiency, reliability, and global scaling. The team announced collaborative efforts to implement these findings in municipal and industrial projects immediately.",Real,Science Daily,genome editing tool successfully correct genetic blindness marker adult according scientific expert study published peerreviewed journal represents milestone researcher utilized advanced analysis method compile indicator investigation focus efficiency reliability global scaling team announced collaborative effort implement finding municipal industrial project immediately
95530,9,ALERT: Shocking evidence leaked!,DOCTORS STUNNED: Local scientist invents frequency device that dissolves cancer instantly! This shocking conspiracy is being covered up by mainstream media outlets! Insiders reveal that elite leaders have known about this hidden technology for decades. Scientists are terrified of speaking out due to strict government NDA agreements. Share this message before it is deleted forever! Do not fall for the lies of corporate agencies!,Fake,The Uncensored Daily,doctor stunned local scientist invents frequency device dissolve cancer instantly shocking conspiracy covered mainstream medium outlet insider reveal elite leader known hidden technology decade scientist terrified speaking due strict government nda agreement share message deleted forever fall lie corporate agency
95531,9,Technology & Science: Major development in research.,"Quantum computers successfully simulate chemical bonds, accelerating medicine discovery. According to scientific experts, this study published in the peer-reviewed journal represents a milestone. Researchers utilized advanced analysis methods to compile indicators. Further investigations will focus on efficiency, reliability, and global scaling. The team announced collaborative efforts to implement these findings in municipal and industrial projects immediately.",Real,Associated Press,quantum computer successfully simulate chemical bond accelerating medicine discovery according scientific expert study published peerreviewed journal represents milestone researcher utilized advanced analysis method compile indicator investigation focus efficiency reliability global scaling team announced collaborative effort implement finding municipal industrial project immediately
95532,9,Technology & Science: New study released in research.,"Agricultural drones increase crop yields by optimizing water distribution efficiency. According to scientific experts, this study published in the peer-reviewed journal represents a milestone. Researchers utilized advanced analysis methods to compile indicators. Further investigations will focus on efficiency, reliability, and global scaling. The team announced collaborative efforts to implement these findings in municipal and industrial projects immediately.",Real,Science Daily,agricultural drone increase crop yield optimizing water distribution efficiency according scientific expert study published peerreviewed journal represents milestone researcher utilized advanced analysis method compile indicator investigation focus efficiency reliability global scaling team announced collaborative effort implement finding municipal industrial project immediately
95533,9,MUST SEE: The truth they hide!,WARNING: Popular smartphone model leaks personal thoughts straight to server! This shocking conspiracy is being covered up by mainstream media outlets! Insiders reveal that elite leaders have known about this hidden technology for decades. Scientists are terrified of speaking out due to strict government NDA agreements. Share this message before it is deleted forever! Do not fall for the lies of corporate agencies!,Fake,Secret Files Weekly,warning popular smartphone model leak personal thought straight server shocking conspiracy covered mainstream medium outlet insider reveal elite leader known hidden technology decade scientist terrified speaking due strict government nda agreement share message deleted forever fall lie corporate agency
95534,9,Renewable Energy: Significant progress reported in research.,"New silicon solar cells achieve record-breaking 33% efficiency in laboratory trials. According to scientific experts, this study published in the peer-reviewed journal represents a milestone. Researchers utilized advanced analysis methods to compile indicators. Further investigations will focus on efficiency, reliability, and global scaling. The team announced collaborative efforts to implement these findings in municipal and industrial projects immediately.",Real,Reuters,new silicon solar cell achieve recordbreaking 33 efficiency laboratory trial according scientific expert study published peerreviewed journal represents milestone researcher utilized advanced analysis method compile indicator investigation focus efficiency reliability global scaling team announced collaborative effort implement finding municipal industrial project immediately
95535,9,CRITICAL EXPOSURE: Secret files revealed!,SHOCKING REPORT: Government to ban coffee consumption next week to control population! This shocking conspiracy is being covered up by mainstream media outlets! Insiders reveal that elite leaders have known about this hidden technology for decades. Scientists are terrified of speaking out due to strict government NDA agreements. Share this message before it is deleted forever! Do not fall for the lies of corporate agencies!,Fake,TruthBomb News,shocking report government ban coffee consumption next week control population shocking conspiracy covered mainstream medium outlet insider reveal elite leader known hidden technology decade scientist terrified speaking due strict government nda agreement share message deleted forever fall lie corporate agency
95536,9,MUST SEE: Secret files revealed!,BREAKING NEWS: Ancient tablet reveals exact date world will end next December! This shocking conspiracy is being covered up by mainstream media outlets! Insiders reveal that elite leaders have known about this hidden technology for decades. Scientists are terrified of speaking out due to strict government NDA agreements. Share this message before it is deleted forever! Do not fall for the lies of corporate agencies!,Fake,Secret Files Weekly,breaking news ancient tablet reveals exact date world end next december shocking conspiracy covered mainstream medium outlet insider reveal elite leader known hidden technology decade scientist terrified speaking due strict government nda agreement share message deleted forever fall lie corporate agency
95537,9,Renewable Energy: Researchers announce breakthrough in research.,"New silicon solar cells achieve record-breaking 33% efficiency in laboratory trials. According to scientific experts, this study published in the peer-reviewed journal represents a milestone. Researchers utilized advanced analysis methods to compile indicators. Further investigations will focus on efficiency, reliability, and global scaling. The team announced collaborative efforts to implement these findings in municipal and industrial projects immediately.",Real,Bloomberg,new silicon solar cell achieve recordbreaking 33 efficiency laboratory trial according scientific expert study published peerreviewed journal represents milestone researcher utilized advanced analysis method compile indicator investigation focus efficiency reliability global scaling team announced collaborative effort implement finding municipal industrial project immediately
95538,9,Medical Breakthroughs: Researchers announce breakthrough in research.,"Researchers synthesize malaria vaccine exhibiting 90% efficacy in clinical studies. According to scientific experts, this study published in the peer-reviewed journal represents a milestone. Researchers utilized advanced analysis methods to compile indicators. Further investigations will focus on efficiency, reliability, and global scaling. The team announced collaborative efforts to implement these findings in municipal and industrial projects immediately.",Real,Science Daily,researcher synthesize malaria vaccine exhibiting 90 efficacy clinical study according scientific expert study published peerreviewed journal represents milestone researcher utilized advanced analysis method compile indicator investigation focus efficiency reliability global scaling team announced collaborative effort implement finding municipal industrial project immediately
